title,author,pages,genre,description,published_date,publisher,language,average_rating,ratings_count,thumbnail
Papers and Proceedings,American Library Association. Conference,1112,Library science,No description available,1903,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=7sExAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Bookman,Unknown Author,780,Literature,No description available,1914,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=FL3fprpzpdkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Central Literary Magazine,Unknown Author,370,Unknown Genre,No description available,1909,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=buo5AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Annual Report of the Trustees of the Public Library of the Cty of Boston,Trustees of the Public Library of the City of Boston,254,Libraries,No description available,1883,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=C0YFAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Kimball's Dairy Farmer,Unknown Author,780,Cattle,No description available,1907,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=CrzrhsKtC2MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Critical Survey of Long Fiction,Frank Northen Magill,526,Fiction,A comprehensive study of long fiction authors writing in languages other than English and of the development of the genre in various geographic regions.,1984,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=Js83AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Catalogue of books in the lending library. 2nd 10,000",Edinburgh publ. libr,562,Unknown Genre,No description available,1891,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=mBxIpphiorUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Tessa Tiger's Temper Tantrums,Barbara deRubertis,32,Juvenile Fiction,Read Along or Enhanced eBook: Tessa Tiger likes to play sports—but NOT when she loses. She stomps and storms until her friends don’t want to play with her anymore. Can Tessa change her attitude and make T-ball fun again—for everyone?,2017-12-13,"Triangle Interactive, Inc. ",en,No rating,0,http://books.google.com/books/content?id=8oJDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Heritage Rare Books & Manuscripts Auction Final Session # 683,Unknown Author,194,Unknown Genre,No description available,Unknown,Heritage Capital Corporation,en,No rating,0,http://books.google.com/books/content?id=MSUrX2qBdLoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Bohemian,Unknown Author,896,Unknown Genre,No description available,1908,Unknown Publisher,en,5,1,http://books.google.com/books/content?id=Rek4AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Illinois Libraries,Unknown Author,268,Libraries,Includes proceedings of the Illinois Library Association.,1919,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=WMDajfrpOHoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Catalogue of Books by Catholic Writers in the St. Louis Public Library,St. Louis Public Library,82,Catholic literature,No description available,1911,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=KIxJAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Index to the Periodicals of 1890-1902,The Review of reviews,196,Indexes,No description available,1895,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=dOY_mqLy8vAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Catalogue of the Bibliographies of Special Subjects in the Library,Boston Public Library,160,Unknown Genre,No description available,1890,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=14IsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Eclectic Magazine of Foreign Literature, Science, and Art",Unknown Author,882,American literature,No description available,1890,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=hWfQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Annual Report of the Pomona Public Library,"Pomona Public Library (Pomona, Calif.)",242,Unknown Genre,No description available,1902,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=VLu_AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bookseller & Stationer and Office Equipment Journal,Unknown Author,816,Unknown Genre,No description available,1918,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=5oNQAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The American Catalogue,Unknown Author,1306,American literature,No description available,1905,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=0J37ohaqseIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,122,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1931-08,Unknown Publisher,en,5,4,http://books.google.com/books/content?id=BCgDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,134,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1872-05,Unknown Publisher,en,4,2,http://books.google.com/books/content?id=qR8DAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,290,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1950-05,Unknown Publisher,en,5,2,http://books.google.com/books/content?id=MC0DAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,282,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1950-01,Unknown Publisher,en,5,2,http://books.google.com/books/content?id=vSwDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,172,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1973-06,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=ZsYZa8MYtTsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,160,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1980-12,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=qrgopj0sit4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,104,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1990-08,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=lgEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,104,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1992-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=rgEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,204,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1963-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=myADAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,142,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1975-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=bAEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Science Spectrum,Unknown Author,40,Unknown Genre,"Science Spectrum hightlights the scientific achievements of Hispanics, Asians, Native Americans, Blacks and other U.S. minorities and has as its goal to increase the number of students among underrepresented groups who pursue careers in science.",2007-09,Unknown Publisher,en,4,1,http://books.google.com/books/content?id=UGDzS1bdt-EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,102,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1993-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=HAMbdaR3IvYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,136,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",2005-08,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=qugDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,142,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1970-05,Unknown Publisher,en,5,1,http://books.google.com/books/content?id=8QAAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,136,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",1999-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=6-cDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,130,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1919-07,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=KikDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,164,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1982-04,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=IcZ8Jm3K5XQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,136,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",2000-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=jugDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,238,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1963-04,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=wiADAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,156,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1984-10,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=WuJsvsxlHv4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,136,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",2003-12,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=2-gDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,144,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1976-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=wAEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,132,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1975-08,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=AQEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,212,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1964-01,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=GywDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,204,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1962-12,Unknown Publisher,en,5,1,http://books.google.com/books/content?id=ISEDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,104,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1938-08,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=eCYDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,122,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1923-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=fyoDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,150,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1970-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=wQEAAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,230,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1965-11,Unknown Publisher,en,5,1,http://books.google.com/books/content?id=-yUDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,242,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1941-04,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=iycDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,298,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1947-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=miQDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,107,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",2009-12,Unknown Publisher,en,2.5,4,http://books.google.com/books/content?id=Nr7W41_P-08C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,242,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1968-04,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=kyYDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,138,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1874-10,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=9R8DAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,164,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1980-09,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=nruj6VeHNy8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,148,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1981-09,Unknown Publisher,en,3,1,http://books.google.com/books/content?id=nRN263ekdaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Popular Science,Unknown Author,250,Unknown Genre,"Popular Science gives our readers the information and tools to improve their technology and their world. The core belief that Popular Science and our readers share: The future is going to be better, and science and technology are the driving forces that will help make it better.",1940-02,Unknown Publisher,en,No rating,0,http://books.google.com/books/content?id=2CYDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Competition Science Vision,Unknown Author,144,Unknown Genre,"Competition Science Vision (monthly magazine) is published by Pratiyogita Darpan Group in India and is one of the best Science monthly magazines available for medical entrance examination students in India. Well-qualified professionals of Physics, Chemistry, Zoology and Botany make contributions to this magazine and craft it with focus on providing complete and to-the-point study material for aspiring candidates. The magazine covers General Knowledge, Science and Technology news, Interviews of t...",1999-01,Unknown Publisher,en,5,1,http://books.google.com/books/content?id=J-gDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
